# --- 일반기계기사 ---
certificateName,url,description
시각디자인산업기사,https://m.blog.naver.com/lacerta_1579/222783558586,실기 응시요령(네이버 블로그 정리글)
# --- 컴퓨터그래픽기능사 ---
컴퓨터그래픽기능사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=7796,컴퓨터그래픽기능사 일정 및 소개
컴퓨터그래픽기능사,https://www.comcbt.com/xe/j5,필기 기출문제(2018년까지)
컴퓨터그래픽기능사,https://cream-bread.tistory.com/202,실기 응시요령(티스토리 정보글)
# --- 패션디자인산업기사 ---
패션디자인산업기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=2301,패션디자인산업기사 일정 및 소개
패션디자인산업기사,https://www.comcbt.com/xe/c8#google_vignette,필기 기출문제(2020년까지)
패션디자인산업기사,https://blog.naver.com/kao_story/223658571055,실기 응시요령(네이버 블로그 정리글)
# --- 의류기사 ---
의류기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=1301,의류기사 일정 및 소개
의류기사,https://www.comcbt.com/xe/ccf,필기 기출문제(2021년까지)
의류기사,https://korea-typewriter.tistory.com/entry/%EC%9D%98%EB%A5%98%EA%B8%B0%EC%82%AC-%ED%95%B5%EC%8B%AC%EC%9A%94%EC%95%BD-%EA%B8%B0%EC%B6%9C%EB%AC%B8%EC%A0%9C,실기 응시요령(티스토리 정보글)
# --- 실내건축산업기사 ---
실내건축산업기사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=2282&gSite=Q&gId=,실내건축산업기사 일정 및 소개
실내건축산업기사,https://www.comcbt.com/xe/dp,필기 기출문제(2020년까지)
실내건축산업기사,https://m.blog.naver.com/hyejin6721/223013461871,실기 응시요령(네이버 블로그 정리글)
# --- 멀티미디어콘텐츠제작전문가 ---
멀티미디어콘텐츠제작전문가,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=9545,멀티미디어콘텐츠제작전문가 일정 및 소개
멀티미디어콘텐츠제작전문가,https://www.comcbt.com/xe/d4,필기 기출문제(2022년까지)
멀티미디어콘텐츠제작전문가,https://blog.naver.com/drawing109/223436278026,실기 응시요령(네이버 블로그 정리글)
# --- 옥외광고사 ---
옥외광고사,https://hankoaa.cafe24.com/sub05/sub01-10.php,옥외광고사 일정 및 소개
옥외광고사,https://hankoaa.cafe24.com/sub05/sub01-6.php,필기 기출문제(2025년까지)
옥외광고사,https://sunwoo9713.tistory.com/entry/%EC%98%A5%EC%99%B8%EA%B4%91%EA%B3%A0%EC%82%AC-%EC%9E%90%EA%B2%A9%EC%A6%9D-%EB%8F%85%ED%95%99%EC%9C%BC%EB%A1%9C-%EC%B7%A8%EB%93%9D%ED%95%98%EA%B8%B0-%EC%A0%84%EC%9E%90%EC%B1%85-%EC%B6%94%EC%B2%9C,실기 응시요령(티스토리 정리글)
# --- 영상편집전문가 ---
영상편집전문가,http://www.kavpc.or.kr/qna/schedule.asp,영상편집전문가 일정 및 소개(불규칙적이어서 25년엔 소식이 없음)
영상편집전문가,https://www.comcbt.com/xe/hf,필기 2급 기출문제(2019년까지)
영상편집전문가,https://www.kinz.kr/subject/2261,필기 1급 기출문제(2019년까지)
영상편집전문가,https://blog.naver.com/starsihara/223531552170,응시요령(네이버 블로그 정리글)
# --- ACP ---
ACP,https://blog.naver.com/someday0191/223109740404,ACP 일정 및 소개
ACP,https://blog.naver.com/vickylee0501/221121401407,실기 기출문제(2017년까지)
ACP,https://blog.naver.com/bubblebabble/222733451041,응시요령(네이버 블로그 정리글)
# --- 문화예술교육사 ---
문화예술교육사,https://www.arte.or.kr/business/professional/license/intro/index.do,문화예술교육사 일정 및 소개
문화예술교육사,https://m.blog.naver.com/choopha0501/222231110048,공부법
문화예술교육사,https://iscu.tistory.com/2195,응시요령(티스토리 정리글)
# --- 영양사 ---
영양사,https://www.q-net.or.kr/crf005.do?id=crf00503&jmCd=0723,영양사 일정 및 소개
영양사,https://mnbgtyui.tistory.com/613,기출문제(2024년도)
영양사,https://m.blog.naver.com/hhee5476/223439089699,응시요령(네이버 블로그 정리글)
# --- 위생사 ---
위생사,https://mnbgtyui.tistory.com/665,위생사 일정(공식적으로 나오진 않았지만 이 정도로 예상됨)
위생사,https://mnbgtyui.tistory.com/592,기출문제(2024년도)
위생사,https://itpurej.tistory.com/22,응시요령(티스토리 정보글)
# --- 의료정보관리사 ---
의료정보관리사,https://blog.naver.com/pso164/223627233385,의료정보관리사 일정(아직 안 나왔지만 작년 일정과 비슷하다고 예상됨)
의료정보관리사,https://blog.naver.com/lena458/223729750791,기출문제(2025년도)
의료정보관리사,https://blog.naver.com/wjdgyeel/223702943640,응시요령(네이버 블로그 정리글)
